amount,inv_num,store_name,inv_date,inv_time,age_range,name
223,INV_000F034A25C4145B,麥當勞,2025-11-07,03:39:00,"(17, 21]",麥香魚 / 可樂-中 / 餐-六塊雞 / 配-經典中薯 / 冰紅茶-中
99,INV_0011341BBC675F3A,麥當勞,2025-11-08,22:00:00,"(17, 21]",P03_六塊雞x2
77,INV_00398E5097264C55,麥當勞,2025-10-26,22:05:00,"(17, 21]",蛋捲冰淇淋 / OREO冰炫風
66,INV_003CC7768DC04E2E,麥當勞,2025-10-23,23:32:00,"(17, 21]",薯條-大
240,INV_004209048475B2B8,麥當勞,2025-10-31,23:26:00,"(17, 21]",薯條-大 / 二原腿排 / 四塊麥克雞塊
50,INV_005C999CC550BA48,麥當勞,2025-10-23,22:16:00,"(17, 21]",四雞塊_50 / C可樂_小
302,INV_0061B1029253AA7D,麥當勞,2025-10-25,23:05:00,"(17, 21]",餐-雙層牛肉 / 玉米湯-大 / 配-六塊豪吃 / 冰焦糖奶茶 / 配-原腿/排
198,INV_006AA692362AF180,麥當勞,2025-11-09,23:34:00,"(17, 21]",P05_辣腿排x2 / P03_六塊雞x2
48,INV_006BCD7AE785CF8B,麥當勞,2025-11-03,00:18:00,"(17, 21]",四塊麥克雞塊
367,INV_006CE760EF515E32,麥當勞,2025-10-16,22:53:00,"(17, 21]",配-經典中薯 / 冰紅茶-中 / *勁辣香雞翅 / 餐-勁辣雞腿 / 玉米湯-大 / 四塊麥克雞塊 / 餐-雙層牛肉
389,INV_007041D3738A10D4,麥當勞,2025-11-03,03:08:00,"(17, 21]",加購四雞塊 / 餐-雙層麥香雞 / 雪碧-中 / 餐-勁辣雞腿 / 零卡可-中 / 配-經典中薯 / 蘋果派 / 加購勁辣翅
163,INV_00754DAE53B61388,麥當勞,2025-10-19,22:14:00,"(17, 21]",#(牛)脆薯堡 / OREO冰炫風
109,INV_0085B834EF78160D,麥當勞,2025-10-21,22:38:00,"(17, 21]",十塊麥克雞塊
126,INV_008B040BA7105557,麥當勞,2025-11-04,23:04:00,"(17, 21]",四塊麥克雞塊 / 大麥克
59,INV_008BE5111A0E787A,麥當勞,2025-11-03,22:12:00,"(17, 21]",OREO冰炫風
207,INV_008F7C220AEB26DC,麥當勞,2025-10-31,01:02:00,"(17, 21]",玉米湯-大 / 加購六塊雞 / 配-經典大薯 / 餐-麥香雞 / $2塑膠袋
286,INV_009270832BDC963B,麥當勞,2025-10-17,23:54:00,"(17, 21]",冰綠茶-中 / 配-六塊豪吃 / 加購藍莓派 / 餐-蕈菇牛M
50,INV_009BA48FEC51D484,麥當勞,2025-10-30,00:46:00,"(17, 21]",C可樂_小 / 勁辣翅_50
100,INV_009BEC3E951F2E1A,麥當勞,2025-10-20,22:58:00,"(17, 21]",C綠茶_小 / 薯條-中 / 麥香雞_50
86,INV_00A3DD52AFEB9F07,麥當勞,2025-10-23,22:42:00,"(17, 21]",可樂-中 / 四塊麥克雞塊
66,INV_00AE9724CFD46706,麥當勞,2025-11-04,22:41:00,"(17, 21]",薯條-大
260,INV_00CEB352F77B6BD8,麥當勞,2025-10-17,23:37:00,"(17, 21]",冰焦糖奶茶 / 配-經典大薯 / 餐-#(牛)脆薯堡 / 加購四雞塊
160,INV_00CFA348708BC6FD,麥當勞,2025-11-01,00:25:00,"(17, 21]",玉米湯-大 / 餐-雙層麥香雞 / 配-經典中薯
137,INV_00D2C2C3F8D5BF56,麥當勞,2025-11-14,23:55:00,"(17, 21]",配-經典中薯 / 餐-雙層牛肉 / 可樂-中
312,INV_00D450B7D66EB928,麥當勞,2025-11-11,23:04:00,"(17, 21]",二原腿排餐 / 玉米湯-大 / 配-六塊豪吃 / 冰焦糖奶茶 / $2塑膠袋
